timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%]
2024/04/10 09:01:57.267, 53.27 W, 0 %, 0 %
2024/04/10 09:01:57.371, 51.58 W, 0 %, 0 %
2024/04/10 09:01:57.376, 49.93 W, 0 %, 0 %
2024/04/10 09:01:57.381, 51.08 W, 0 %, 0 %
2024/04/10 09:01:57.388, 53.27 W, 0 %, 0 %
2024/04/10 09:01:57.492, 51.58 W, 0 %, 0 %
2024/04/10 09:01:57.497, 49.93 W, 0 %, 0 %
2024/04/10 09:01:57.501, 51.08 W, 0 %, 0 %
2024/04/10 09:01:57.506, 53.27 W, 0 %, 0 %
2024/04/10 09:01:57.611, 51.25 W, 0 %, 0 %
2024/04/10 09:01:57.615, 49.93 W, 0 %, 0 %
2024/04/10 09:01:57.620, 51.08 W, 0 %, 0 %
2024/04/10 09:01:57.626, 53.27 W, 0 %, 0 %
2024/04/10 09:01:57.731, 51.58 W, 0 %
