event,timestamp,python3.11,ALL_TASKS,cpu,gpu
inference,217.94,1033.49,1437.55,1845,1102
inference,217.71,1228.11,1462.33,1906,0
inference,217.59,1366.38,1556.77,2041,707
inference,217.84,1360.34,1583.29,2203,2486
inference,218.23,1631.21,1986.33,2768,835
inference,218.2,978.52,1164.10,1581,628
inference,218.62,1578.57,1780.17,2923,0
inference,217.6,2747.21,3019.15,4044,2804
inference,217.77,2082.63,2317.93,3178,1700
inference,218.39,2667.68,2849.47,3434,7081
inference,217.64,2749.80,2971.87,3887,7784
inference,218.42,2629.16,2812.48,3448,7218
inference,218.39,2669.51,2857.12,3494,6524
inference,217.38,2745.78,3029.90,3961,8096
inference,218.07,2458.85,2639.98,3398,6868
inference,218.01,2836.71,3026.11,3445,7012
inference,217.64,2621.81,2803.77,3781,8243
inference,218.34,2581.50,2965.83,3783,6722
inference,217.75,2705.73,2987.24,4032,6705
inference,218.77,2501.56,2747.57,3776,7789
inference,218.15,2897.48,3193.09,3722,6075
inference,217.76,2490.93,2781.80,3711,8567
inference,217.88,2658.23,2920.90,3429,6089
inference,217.15,2651.66,2927.61,3758,7550
inference,218.08,2589.59,2920.23,3389,6576
inference,217.39,2679.68,2985.49,3717,7167
inference,217.95,2550.47,2819.59,3285,6946
inference,217.04,2688.35,2979.15,3746,6809
inference,217.9,2476.11,2763.49,3318,7298
inference,217.32,2780.47,3110.54,3764,6558
inference,217.97,2436.20,2795.69,3523,7952
inference,217.27,2806.59,3126.33,3894,6088
inference,218.19,2322.21,2603.40,3488,8160
inference,217.97,2943.51,3281.30,3624,6586
inference,217.59,2437.57,2707.85,3465,8354
inference,217.98,2789.79,3105.36,3638,5906
inference,217.84,2431.75,2729.85,3296,7634
inference,217.53,2665.71,2940.25,3595,5642
inference,217.83,2449.71,2763.89,3227,6955
inference,217.61,2504.51,2790.12,3552,7373
inference,217.97,2770.04,3082.18,3702,5133
inference,217.83,2355.27,2619.46,3112,7951
inference,217.46,2592.37,2886.07,3679,6064
inference,218.14,2813.87,3146.79,3479,6190
inference,217.55,2301.34,2574.68,3218,7532
inference,217.14,2665.98,2987.65,3753,5691
inference,217.78,2648.62,2924.34,3343,6646
inference,217.23,2408.92,2666.30,3646,7572
inference,218.17,2689.56,2990.27,3992,5400
inference,218.04,2570.72,2864.64,3371,7164
inference,217.63,2493.14,2769.79,3492,7503
inference,217.22,2658.48,2944.46,3595,4940
inference,217.79,2511.56,2873.85,3393,7472
inference,218.16,2539.86,2963.43,3653,7402
inference,216.89,2721.10,3022.60,3642,5024
inference,217.87,2375.59,2650.57,3162,7695
inference,217.79,2575.63,2871.69,3554,7275
inference,217.42,2659.37,2858.37,3500,5542
inference,218.12,2414.82,2598.64,2998,7635
inference,218.42,2518.84,2750.28,3480,6831
inference,218.39,2775.11,2961.59,3521,5604
inference,218.72,2301.15,2479.41,3018,7638
inference,217.55,2497.51,2681.56,3489,6922
inference,218.26,2788.83,3015.45,3578,5888
inference,218.36,2309.45,2583.64,3119,7729
inference,217.78,2554.34,2832.34,3655,6805
inference,218.31,2812.70,2995.56,3523,6056
inference,218.37,2163.52,2356.53,2899,7801
inference,218.0,2603.58,2828.25,3454,6672
inference,218.16,2617.74,2801.00,3424,6592
inference,218.05,2259.26,2439.87,2935,7847
inference,217.68,2622.10,2803.64,3418,6242
inference,218.31,2607.92,2846.46,3293,6803
inference,217.65,2077.23,2280.27,2904,7979
inference,218.91,2478.38,2656.44,3284,6065
inference,218.2,2453.97,2650.44,3368,4947
inference,217.93,2590.82,2780.17,3418,5687
inference,218.03,2615.73,2884.15,3568,6713
inference,218.22,2455.82,2636.04,3015,6719
inference,217.72,2242.66,2464.81,3160,6599
inference,218.42,2458.48,2645.32,3310,5916
inference,217.75,2502.05,2756.16,3417,5274
inference,217.78,2469.32,2698.43,3357,5442
inference,218.2,2600.12,3445.82,4056,6309
inference,218.47,2599.49,2780.03,3332,6577
inference,218.12,2297.72,2481.20,2875,6573
inference,217.87,2113.20,2377.05,3066,7024
inference,219.08,2478.25,2660.43,3318,5490
inference,218.39,2424.05,2613.49,3283,5350
inference,218.4,2430.59,2637.25,3338,5376
inference,217.52,2525.90,2707.06,3319,5444
inference,218.12,2485.98,2708.53,3333,6882
inference,218.08,2624.02,2802.32,3315,6611
inference,218.14,2336.49,2557.93,2993,6548
inference,217.69,2243.06,2418.46,3069,6716
inference,218.65,2499.25,2681.41,3293,5972
inference,218.22,2478.28,2660.65,3309,5461
inference,218.1,2523.31,2706.44,3347,5504
inference,217.55,2398.66,2636.27,3333,5598
inference,218.19,2648.07,2830.21,3318,6670
inference,218.38,2557.73,2751.01,3384,6600
inference,218.52,2485.06,2659.81,3080,6571
inference,218.7,2216.88,2829.13,3242,6974
inference,217.97,2289.04,2564.70,3225,6264
inference,219.18,2353.67,2546.50,3253,5836
inference,218.12,2482.63,2668.49,3260,5553
inference,217.66,2392.33,2578.01,3267,5602
inference,217.86,2512.54,2729.48,3319,5678
inference,217.53,2519.46,2703.64,3314,6160
inference,218.18,2509.58,2740.23,3318,6574
inference,218.22,2509.63,2696.76,3281,6568
inference,218.16,2384.50,2568.82,3200,6530
inference,217.84,2396.60,2586.20,3016,6573
inference,217.65,2239.41,2425.63,3138,6606
inference,218.79,2407.17,2627.55,3318,6350
inference,218.83,2466.81,2651.96,3258,5713
inference,218.23,2482.22,2719.66,3350,5685
inference,218.66,2437.79,2622.40,3270,5806
inference,217.86,2444.09,2790.51,3475,5790
inference,218.06,2503.18,2903.69,3357,6738
inference,219.31,2564.53,2892.56,3548,6659
inference,218.23,2404.06,2592.02,3308,6671
inference,218.01,2511.29,2699.44,3078,6635
inference,217.52,2248.69,2498.99,3108,6724
inference,218.12,2254.81,2439.84,3182,7140
inference,218.97,2440.27,2652.17,3311,5855
inference,218.34,2441.38,2626.81,3284,5891
inference,218.51,2435.12,2663.22,3350,5844
inference,219.22,2457.14,2651.24,3275,5931
inference,218.38,2426.61,2621.75,3260,5912
inference,218.78,2392.93,2613.59,3341,6599
inference,218.63,2486.35,2694.95,3284,6751
inference,218.82,2516.30,2705.05,3281,7117
inference,218.46,2549.32,2736.51,3241,6690
inference,218.31,2277.29,2519.34,3078,6770
inference,218.25,2225.28,2413.36,3120,6839
inference,218.99,2358.52,2572.15,3283,6602
inference,219.4,2371.43,2563.26,3186,6023
inference,218.64,2324.30,2515.96,3238,5934
inference,219.19,2446.49,2665.97,3257,5978
inference,219.14,2372.85,2561.12,3217,6063
inference,218.52,2482.35,2666.12,3254,6571
inference,218.6,2483.55,2668.36,3248,6851
inference,218.44,2338.56,2574.84,3305,6839
inference,218.56,2508.15,2694.44,3258,6881
inference,218.56,2344.27,2528.54,2947,7298
inference,218.02,2228.13,2413.53,3014,6895
inference,218.75,2300.28,2484.09,3227,6935
inference,219.57,2335.89,2563.55,3302,6185
inference,219.12,2431.32,2619.29,3204,6144
inference,219.12,2370.14,2585.02,3331,6097
inference,217.95,2393.31,3515.05,3556,6111
inference,218.27,2401.15,2597.02,3230,6364
inference,218.78,2323.60,2517.72,3236,7092
inference,218.95,2453.25,2641.33,3220,6938
inference,218.75,2464.97,2679.01,3259,6915
inference,218.61,2436.53,2628.03,3138,7241
inference,218.35,2175.90,2386.20,3087,6967
inference,218.06,2172.52,2364.06,2953,6984
inference,219.37,2257.64,2493.37,3273,7122
inference,219.64,2293.70,2500.51,3196,6460
inference,219.14,2385.30,2576.94,3176,6206
inference,219.0,2251.73,2442.96,3160,6252
inference,219.39,2394.30,2585.15,3163,6224
inference,218.37,2252.07,2482.30,3219,6326
inference,218.49,2431.69,2615.30,3195,6864
inference,219.18,2434.57,2629.37,3189,7470
tokenizer,217.08,0.91,229.43,221,5
tokenizer,222.47,0.78,156.60,126,5
tokenizer,237.09,0.30,88.97,118,0
tokenizer,235.51,0.33,99.22,123,0
tokenizer,237.42,142.85,223.23,417,0
model load,218.51,0.72,976.11,1071,9
model load,227.08,0.57,107.45,137,9
model load,233.55,0.32,129.65,158,0
model load,237.94,0.39,73.15,118,51
model load,235.18,27.83,182.23,281,0
model load,236.4,342.75,12376.92,14594,26
model load,218.64,9410.57,9767.83,11960,0
model load,217.39,3695.36,4176.08,8170,18
model load,218.89,3769.87,4298.79,8397,78
model load,218.11,3786.00,4352.72,8963,82
model load,218.72,4034.38,4540.29,9432,96
model load,217.6,3576.00,4629.62,8727,64
model load,219.35,4069.01,4684.57,9391,41
model load,218.22,3531.46,4071.22,8148,68
model load,218.74,3656.05,4222.39,8709,115
model load,217.75,3504.46,3964.98,7954,73
model load,218.31,4103.96,4686.99,9716,60
model load,218.38,3537.82,4008.53,7890,55
model load,218.78,4741.36,5295.23,9119,60
model load,217.59,3471.57,3943.64,7684,137
model load,217.8,3855.97,4565.69,9320,51
model load,218.17,3504.25,3967.12,8003,133
model load,218.13,4014.83,4592.49,9137,64
model load,218.22,3058.33,3809.20,7185,60
model load,217.36,3186.25,3902.51,9321,60
model load,217.01,2923.10,3802.66,9119,23
model load,217.82,3024.59,3924.37,8273,74
model load,217.56,3131.98,3859.32,8866,18
model load,217.29,2300.18,2976.89,6231,37
model load,218.35,2500.63,3077.20,6549,23
model load,217.16,2417.67,3156.63,6848,64
model load,220.56,2684.07,3769.00,8569,28
model load,219.09,2127.02,3954.70,10238,63
model load,328.17,386.14,1990.71,3516,23
model load,217.33,98.49,1728.05,4657,6
model load,561.84,616.27,1971.97,3295,32
model load,218.75,1976.01,2974.59,6025,18
model load,229.1,1660.58,2596.35,5709,14
model load,217.11,3017.97,3696.24,9364,26
model load,217.29,3153.51,3952.65,9218,14
model load,217.25,3157.36,3959.78,8580,92
model load,218.75,2493.92,3175.44,7104,23
model load,216.99,3065.05,3959.21,9337,27
model load,217.78,3173.04,4111.31,9170,23
model load,218.89,3214.12,3990.55,9315,69
model load,219.61,1358.74,3169.10,7113,37
model load,284.05,884.19,1966.99,3932,36
model load,221.22,1732.57,3259.76,6654,0
model load,261.28,2207.07,2826.50,6893,50
model load,221.06,4734.10,5359.37,8084,23
model load,217.19,1879.42,2879.70,4029,86
model load,217.67,1693.99,1975.86,2343,41
pipeline load,217.13,0.50,225.06,170,64
pipeline load,231.92,0.41,80.66,116,64
pipeline load,233.73,0.47,94.38,116,0
pipeline load,236.31,0.36,87.20,114,0
inference,218.04,1119.98,1381.63,1853,0
inference,217.08,998.08,1217.30,1649,0
inference,217.83,1081.55,1263.27,1749,0
inference,217.56,1089.54,1271.76,1705,243
inference,217.55,1144.01,1626.30,2197,0
inference,217.94,963.81,1391.92,1808,234
inference,218.37,1356.85,1536.65,2029,55
inference,217.56,1137.39,1327.79,1719,1987
inference,218.8,1193.57,1449.89,1942,515
inference,217.76,1014.49,1248.18,1727,644
inference,217.73,1996.49,2181.58,3036,37
inference,218.53,2485.89,2683.45,3972,5181
inference,218.33,2780.42,3073.92,3614,2645
inference,217.68,2956.53,3142.37,3625,7841
inference,218.3,2605.77,2834.00,3394,7810
inference,218.32,2649.43,2836.57,3307,6802
inference,216.95,2908.12,3323.15,3895,7265
inference,218.26,2567.87,3139.67,3762,8347
inference,218.42,2588.12,2770.01,3209,6758
inference,217.29,2850.66,3043.45,3590,7092
inference,218.3,2580.01,2760.07,3202,8136
inference,218.14,2617.99,2830.23,3232,6848
inference,217.42,2791.58,3118.63,3712,7385
inference,218.46,2534.79,2998.22,3744,7893
inference,218.06,2917.01,3103.64,3462,6107
inference,217.87,2486.33,2675.39,3273,8218
inference,218.4,2632.69,2815.18,3205,6242
inference,217.74,2827.00,3005.97,3513,7848
inference,218.25,2559.29,2778.71,3203,6563
inference,217.24,2830.91,3016.59,3581,7235
inference,218.34,2538.54,2772.66,3192,7545
inference,217.87,2723.69,2910.74,3502,6371
inference,218.19,2532.88,2960.44,3612,8051
inference,218.0,2914.35,3094.06,3390,6284
inference,217.79,2490.56,2668.84,3288,8307
inference,218.18,2593.82,2808.51,3190,6332
inference,218.09,2623.50,2806.28,3466,8328
inference,218.41,2592.05,2778.71,3159,6772
inference,217.91,2760.04,2942.54,3451,7339
inference,218.49,2483.99,2721.39,3131,6851
inference,217.68,2646.00,2837.44,3381,7405
inference,218.0,2789.10,3111.99,3610,5393
inference,218.1,2335.36,2511.24,2930,8124
inference,217.38,2784.17,2964.95,3432,5617
inference,218.2,2472.81,2701.54,3093,6955
inference,218.29,2530.47,2717.42,3303,7539
inference,217.36,2788.48,2969.03,3455,5062
inference,218.08,2364.85,2545.96,2944,7692
inference,217.87,2672.77,2897.72,3424,6617
inference,217.96,2657.52,2847.36,3368,6297
inference,218.02,2413.98,2599.54,3009,7598
inference,217.98,2665.99,2904.23,3459,5720
inference,218.49,2679.94,2858.60,3167,6730
inference,217.42,2447.57,2626.21,3252,7639
inference,217.71,2700.42,2881.81,3445,5344
inference,217.99,2506.59,2738.26,3129,7519
inference,218.53,2598.08,2785.19,3373,7377
inference,217.12,2644.85,2822.89,3486,5176
inference,218.57,2439.66,2667.14,3006,7710
inference,218.25,2493.52,2676.80,3363,7092
inference,218.1,2792.87,2973.96,3457,5485
inference,217.89,2320.97,2496.29,2928,8134
inference,218.02,2599.77,2904.18,3591,6439
inference,218.14,2743.69,2921.54,3461,6192
inference,218.68,2412.71,2696.21,3137,7743
inference,217.08,2634.89,2855.03,3460,6343
inference,217.81,2811.80,2990.45,3319,6408
inference,217.74,2261.10,2487.95,3146,8269
inference,217.74,2635.53,2819.90,3426,5823
inference,218.09,2676.51,2989.98,3471,7192
inference,217.64,2387.36,2565.38,3230,7946
inference,217.27,2693.57,2910.02,3447,5546
inference,218.14,2318.39,2495.66,2934,7751
inference,218.46,2468.78,2650.75,3342,7793
inference,217.79,2757.18,2984.20,3503,5864
inference,218.17,2267.66,2448.17,2888,8035
inference,218.33,2543.54,2737.42,3394,6971
inference,217.91,2602.19,2777.93,3359,6183
inference,218.18,2563.33,2815.09,3282,6792
inference,218.86,2283.10,2462.71,2851,6366
inference,218.66,2389.22,2662.65,3284,6703
inference,217.82,2508.65,2831.26,3475,5483
inference,217.58,2479.21,2687.89,3305,5372
inference,217.3,2599.74,2817.69,3387,5621
inference,217.95,2616.54,2804.36,3349,6724
inference,217.97,2465.35,2699.70,3129,6713
inference,216.85,2194.24,2516.90,3500,6776
inference,218.28,2489.55,2983.01,3326,6271
inference,217.98,2429.78,2613.22,3248,5346
inference,218.07,2550.71,2760.93,3329,5367
inference,217.79,2494.27,2743.64,3407,6094
inference,217.97,2557.00,2744.35,3312,6672
inference,217.96,2524.20,2749.09,3124,6648
inference,217.83,2194.76,2401.20,3048,6735
inference,218.72,2423.00,2603.45,3283,6445
inference,217.86,2534.34,2710.54,3273,5432
inference,218.37,2505.88,2687.94,3288,5481
inference,217.12,2492.37,2725.45,3325,5582
inference,218.19,2518.40,2699.32,3350,6743
inference,218.12,2642.54,2855.73,3351,6687
inference,218.36,2365.04,2569.64,2977,7134
inference,217.5,2215.44,2392.04,3030,6228
inference,218.39,2384.10,2558.24,3237,6317
inference,218.15,2541.02,2776.40,3337,5536
inference,217.8,2461.98,2642.00,3246,5638
inference,217.76,2532.70,2718.97,3306,5537
inference,218.19,2354.56,2579.68,3236,6452
inference,218.65,2459.70,2666.46,3320,6352
inference,217.95,2426.71,2630.61,3258,6504
inference,218.17,2655.93,2835.38,3186,6272
inference,217.91,2232.26,2504.56,3079,6674
inference,217.86,2331.72,2515.47,3199,7154
inference,218.8,2403.84,2586.20,3291,5692
inference,218.34,2494.53,2711.11,3325,5649
inference,217.87,2520.26,2700.28,3300,5762
inference,218.01,2398.49,2580.56,3275,5696
inference,217.89,2527.05,2708.89,3295,6156
inference,217.91,2567.42,2798.44,3396,7068
inference,218.12,2534.97,2716.10,3292,6714
inference,218.12,2548.23,2767.59,3292,6638
inference,217.7,2240.35,2420.85,2977,6643
inference,218.42,2304.93,2482.91,3214,6808
inference,219.02,2460.90,2682.00,3306,5965
inference,218.31,2384.43,2569.32,3239,5840
inference,218.08,2480.38,2659.55,3256,5804
inference,217.48,2381.45,2559.40,3223,5833
inference,217.25,2511.35,2744.25,3333,6276
inference,217.96,2528.69,2773.99,3492,6813
inference,217.82,2543.82,2727.68,3278,6777
inference,218.01,2530.28,2713.53,3344,7134
inference,218.13,2340.94,2546.82,3012,6789
inference,217.63,2236.39,2452.98,3125,6785
inference,218.85,2385.63,2552.08,3253,6552
inference,218.96,2470.06,2656.33,3261,5890
inference,218.59,2402.86,2582.09,3262,5896
inference,218.86,2476.60,2661.42,3304,5924
inference,218.04,2456.04,2682.73,3284,6068
inference,217.98,2529.67,2705.25,3285,6747
inference,218.4,2399.20,2769.72,3713,6785
inference,218.33,2538.44,2731.88,3293,7253
inference,218.52,2494.71,2705.02,3126,6852
inference,217.95,2232.79,2419.58,2996,6919
inference,218.25,2215.17,2396.79,3102,6965
inference,219.11,2373.29,2550.57,3263,6493
inference,219.3,2430.35,2638.02,3251,6015
inference,218.34,2387.50,2630.38,3293,6019
inference,219.02,2446.28,2631.25,3242,6142
inference,218.48,2419.98,2606.07,3254,6114
inference,218.94,2504.04,2696.47,3270,7035
inference,218.45,2358.01,2599.99,3314,6856
inference,218.16,2518.05,2806.83,3392,6931
inference,218.07,2489.84,2679.10,3178,7009
inference,218.39,2272.47,2455.11,2981,6979
inference,218.04,2215.69,2401.52,3077,7473
inference,219.71,2387.40,2610.81,3300,6705
inference,219.56,2347.69,2531.75,3257,6208
inference,218.79,2345.59,2540.72,3213,6144
inference,219.24,2418.66,2605.37,3202,6179
inference,218.62,2324.63,2543.32,3207,6194
inference,217.97,2448.43,2633.99,3230,6642
inference,218.73,2287.01,2499.92,3118,7497
inference,219.1,2460.15,2644.00,3227,6602
inference,218.76,2332.23,2510.86,3227,7024
inference,218.62,2455.59,2689.50,3097,7063
inference,217.75,2183.24,2366.30,2957,7090
inference,217.99,2212.70,2400.38,3032,7499
inference,219.47,2260.94,2456.74,3230,6757
inference,219.81,2395.64,2579.62,3253,6479
inference,218.53,2314.77,2535.17,3135,6346
inference,219.44,2247.78,2436.66,3154,6329
tokenizer,216.95,0.77,185.44,129,0
tokenizer,236.19,0.51,90.19,106,0
tokenizer,233.57,0.28,139.53,167,0
tokenizer,236.52,0.30,85.41,326,60
tokenizer,241.06,255.39,747.45,875,0
model load,217.4,0.49,189.45,133,0
model load,236.68,0.49,118.47,144,0
model load,229.41,0.39,85.42,122,8
model load,231.82,0.32,103.53,134,0
model load,235.6,39.08,136.37,238,0
model load,229.73,340.54,12881.14,15131,0
model load,216.59,9625.67,10049.39,12521,0
model load,218.39,3776.09,4268.26,8031,78
model load,218.37,3681.42,4219.45,8430,96
model load,217.88,3840.66,4361.37,9138,69
model load,218.38,4112.27,4697.99,9538,78
model load,218.98,3651.46,4162.21,8165,101
model load,219.48,4152.57,4776.91,9482,41
model load,218.04,3578.15,4056.12,8109,87
model load,218.18,3844.98,4390.99,9066,96
model load,218.3,3634.23,4111.91,8236,83
model load,217.93,4142.73,4756.04,9489,69
model load,218.54,3567.42,4097.50,8067,64
model load,219.01,4146.51,4697.74,9488,124
model load,218.32,3356.46,3809.60,7503,55
model load,218.29,4127.91,4726.63,9716,55
model load,218.72,3691.78,4179.42,8097,69
model load,218.35,3907.54,4569.71,9237,73
model load,218.49,3369.58,3966.55,7543,124
model load,216.55,3160.84,3932.31,9873,69
model load,217.03,3055.75,3850.94,8847,5
model load,218.1,3194.41,3906.97,8588,78
model load,217.59,3036.98,3741.36,8543,14
model load,218.75,2679.24,3394.07,7031,41
model load,219.1,2029.44,2562.59,5007,27
model load,216.57,2734.56,3576.60,7342,73
model load,219.93,2187.75,3846.75,9226,0
model load,371.87,84.50,1655.23,4854,64
model load,505.22,819.55,2314.50,3583,0
model load,221.46,3036.93,3915.68,8932,18
model load,217.96,1679.80,2608.56,4804,32
model load,217.73,2663.49,3363.48,7955,18
model load,217.14,3097.77,3821.88,9036,92
model load,218.54,3252.82,4013.27,8946,28
model load,218.12,3208.15,3962.64,9247,23
model load,217.98,2209.92,3126.50,6904,28
model load,218.52,3299.04,4092.54,9679,55
model load,219.17,4574.72,5007.13,6561,27
model load,217.36,71.05,1517.83,2673,114
model load,227.67,39.36,1631.57,2534,14
model load,221.61,2348.37,3153.10,5406,0
model load,219.33,3126.63,3880.14,9187,95
model load,217.32,3061.31,4001.25,9433,32
model load,216.59,559.38,2041.01,3952,64
model load,220.02,1780.23,2882.30,5813,9
model load,218.05,3089.47,3960.73,10016,27
model load,217.16,3123.77,3969.33,8759,18
model load,217.78,680.12,1003.69,1313,51
pipeline load,216.54,0.65,191.93,134,0
pipeline load,236.09,0.55,100.29,144,0
pipeline load,235.67,0.33,89.04,106,13
pipeline load,236.55,0.40,113.28,148,0
inference,217.71,1021.16,1205.72,1695,0
inference,217.75,1163.43,1368.87,1763,0
inference,217.46,1106.39,1936.23,1899,37
inference,217.63,1059.69,1319.17,1732,235
inference,217.88,1169.93,2900.62,3640,23
inference,217.8,1201.34,3113.10,3714,243
inference,218.12,1066.24,1280.62,1719,624
inference,217.73,1224.69,1422.21,2035,73
inference,217.92,1081.75,1410.31,1790,1038
inference,218.18,1324.63,1515.26,1957,50
inference,217.55,1214.92,1397.95,1908,843
inference,217.56,1113.69,1375.20,1816,689
inference,217.44,1654.23,2212.75,2865,0
inference,217.48,1566.60,1798.16,2593,3265
inference,218.35,2380.51,2599.62,3824,1890
inference,218.11,2737.97,2968.52,3361,1937
inference,218.01,2711.75,2896.90,3326,7721
inference,218.14,2658.15,2993.21,3502,7119
inference,216.96,2838.61,3020.89,3388,6844
inference,217.53,2609.99,2805.43,3498,8564
inference,218.06,2616.43,2793.40,3238,6896
inference,217.99,2840.00,3020.85,3344,6883
inference,218.36,2790.01,3019.89,3609,8399
inference,217.96,2627.35,2807.49,3216,7208
inference,218.02,2687.70,2873.00,3302,6827
inference,217.95,2770.58,2951.50,3505,8421
inference,218.22,2577.92,2804.68,3231,6928
inference,217.15,2848.89,3034.72,3569,6695
inference,218.28,2533.47,2710.53,3157,7898
inference,217.66,2988.48,3177.30,3492,6208
inference,217.86,2595.62,2907.19,3530,8275
inference,218.07,2633.44,2848.91,3233,6279
inference,217.92,2661.26,2844.98,3478,8071
inference,217.99,2602.05,2817.09,3170,6824
inference,217.66,2820.81,3002.81,3510,7119
inference,218.27,2486.25,2669.79,3088,7392
inference,218.01,2791.75,2970.71,3537,6583
inference,218.47,2502.72,2677.26,3099,7890
inference,217.21,2922.21,3157.77,3545,6330
inference,218.1,2360.01,2544.25,3219,8448
inference,218.14,2795.42,3017.43,3273,6813
inference,217.69,2614.08,2791.11,3454,8064
inference,218.08,2773.52,2966.85,3274,6417
inference,217.51,2479.18,2661.01,3227,7745
inference,216.86,2709.40,2912.03,3537,5172
inference,218.16,2486.68,2714.58,3048,7728
inference,217.48,2654.17,2853.03,3426,6724
inference,218.18,2774.14,2950.95,3218,6116
inference,217.42,2379.37,2564.49,3174,8108
inference,218.05,2802.48,3018.14,3472,5137
inference,218.31,2387.09,2568.93,3028,7539
inference,218.16,2715.06,2899.67,3369,7100
inference,218.18,2681.53,2909.96,3529,5427
inference,218.0,2283.70,2514.74,2803,7737
inference,218.41,2437.75,2654.81,3292,6491
inference,217.13,2746.74,2928.36,3482,5160
inference,218.25,2482.01,2696.16,3038,7733
inference,218.21,2677.62,2859.34,3387,6919
inference,218.19,2759.92,2984.34,3529,5508
inference,218.39,2328.57,2520.62,2949,8130
inference,218.13,2653.40,3071.47,3681,6301
inference,218.19,2785.19,2999.88,3511,6171
inference,217.95,2344.71,2529.57,2946,7764
inference,217.7,2592.13,2804.70,3482,6176
inference,218.3,2809.17,2992.22,3280,6481
