event,timestamp,python3.11,ALL_TASKS,cpu,gpu
pipeline load,217.68,247.96,1051.70,3202,9
pipeline load,222.12,233.46,1017.73,3917,23
pipeline load,219.06,247.37,953.99,3616,9
pipeline load,217.87,226.41,1786.95,4746,18
pipeline load,217.21,239.95,1102.17,4088,60
pipeline load,217.4,195.03,1406.62,4494,28
pipeline load,218.01,275.86,5610.89,10390,0
pipeline load,222.14,315.14,5265.68,9291,0
pipeline load,217.85,30.16,5141.24,8823,45
pipeline load,216.57,49.56,4035.98,8113,0
pipeline load,218.21,51.34,1128.43,1508,0
pipeline load,216.23,320.30,1253.95,2974,0
pipeline load,217.78,317.69,793.40,3889,28
pipeline load,219.17,311.20,585.45,3527,73
pipeline load,219.76,290.24,742.03,3777,18
pipeline load,219.16,218.91,965.04,3938,32
pipeline load,220.29,221.94,1189.39,3545,14
pipeline load,221.49,317.80,847.03,3770,14
pipeline load,220.69,255.93,2323.37,5388,59
pipeline load,218.92,365.38,5464.34,10017,0
pipeline load,217.67,28.16,3400.48,6418,9
pipeline load,217.5,29.51,4185.05,7710,0
pipeline load,218.56,50.35,1917.39,3088,23
pipeline load,219.2,120.18,347.46,1195,0
pipeline load,219.19,302.95,588.09,3490,23
pipeline load,221.01,302.64,822.98,3452,9
pipeline load,220.07,504.87,900.86,3803,32
pipeline load,220.98,646.98,989.47,3611,23
pipeline load,217.62,318.63,769.93,3819,68
pipeline load,218.7,216.33,2830.30,5953,23
pipeline load,218.45,261.04,2210.36,5704,9
pipeline load,219.45,475.27,1033.69,3577,37
pipeline load,217.3,431.44,702.39,3534,27
pipeline load,219.8,317.38,589.59,3508,5
pipeline load,220.23,304.53,651.51,3628,41
pipeline load,219.2,312.29,723.44,3796,32
pipeline load,220.67,321.82,600.96,3585,0
pipeline load,220.66,346.72,638.48,3653,41
pipeline load,219.64,595.16,1038.42,3497,27
pipeline load,218.28,319.38,589.90,3592,32
pipeline load,220.23,319.92,589.97,3569,9
pipeline load,220.53,316.99,585.73,3578,32
pipeline load,220.87,313.90,601.36,3436,14
pipeline load,220.6,329.63,597.52,3296,23
pipeline load,219.03,353.66,771.12,3091,27
pipeline load,220.18,535.38,1550.28,4156,0
pipeline load,218.04,310.41,770.97,3784,14
pipeline load,221.27,301.08,718.58,3787,32
pipeline load,219.74,304.03,722.22,3754,9
pipeline load,220.25,614.14,994.73,3446,32
pipeline load,217.34,38.31,382.91,456,14
inference,217.8,498.13,787.76,3760,0
inference,218.63,449.44,2022.12,3892,0
inference,216.67,300.73,3456.37,4191,0
inference,217.09,384.65,3412.32,4150,0
inference,216.82,216.52,3464.57,4179,0
inference,216.95,159.20,3507.28,4102,42
inference,217.04,1041.17,2997.34,3539,5
inference,218.17,980.83,1190.98,1655,498
inference,218.58,1143.56,1350.10,1839,0
inference,216.69,1065.67,1270.20,1791,46
inference,217.78,1071.26,1340.96,1961,78
inference,218.47,1003.85,1317.78,1716,83
inference,218.77,1437.26,1691.04,2208,0
inference,217.79,1004.33,1276.68,1805,2381
inference,217.67,1234.19,1472.09,1971,0
inference,217.61,1028.60,1261.67,1811,570
inference,217.7,1218.88,1422.42,1902,0
inference,217.33,1512.03,1719.58,2452,1006
inference,218.62,1542.11,3413.58,4789,3571
inference,217.03,553.85,3348.33,4230,3024
inference,217.09,220.22,3495.69,4141,5
inference,216.6,340.06,3429.20,4178,0
inference,217.36,152.13,3814.03,4458,0
inference,217.42,262.44,6552.74,8049,0
inference,224.83,2294.25,2964.78,3718,51
inference,217.68,1988.98,2227.46,3041,614
inference,218.64,2888.37,3168.84,4071,5517
inference,218.15,2648.76,2972.34,3883,6833
inference,218.75,2808.59,3395.57,3922,6262
inference,217.65,2771.05,3154.07,4259,7438
inference,219.17,2744.89,3040.65,4312,7627
inference,218.49,2873.92,3110.91,3941,6515
inference,217.94,2796.99,3022.06,3877,6536
inference,217.52,2916.13,3144.68,4004,7516
inference,218.54,2706.40,2942.76,3990,7512
inference,218.0,2745.20,2965.49,3784,7129
inference,217.27,2892.90,3103.07,3774,6050
inference,217.72,2774.42,3000.06,4065,7792
inference,217.6,2730.01,2949.98,3787,6251
inference,217.42,2861.26,3267.06,4231,6085
inference,218.42,2802.71,3016.54,3731,7879
inference,218.43,2676.92,2913.72,3617,5988
inference,217.6,2855.43,3082.85,3957,6666
inference,218.8,2755.36,2971.83,3670,7574
inference,218.55,2770.72,2981.37,3587,6083
inference,217.65,2762.58,3078.37,4089,7001
inference,218.53,2770.56,3094.56,3867,7112
inference,218.28,2833.30,3197.74,4091,6063
inference,217.3,2852.52,3080.68,3985,7674
inference,218.3,2772.73,3008.52,3688,6958
inference,218.59,2807.32,3014.34,3614,6294
inference,217.57,2812.15,3033.57,3737,7709
inference,217.94,2692.25,2913.68,3473,5819
inference,217.29,2845.92,3058.16,3797,6841
inference,218.29,2696.85,2909.22,3491,6107
inference,217.74,2713.84,2929.23,3642,6629
inference,218.35,2755.19,2963.37,3458,5791
inference,217.78,2806.42,3031.15,3673,6980
inference,219.14,2782.61,2994.87,3546,5441
inference,217.91,2683.83,2908.57,3630,7352
inference,218.26,2928.33,3569.37,4091,5378
inference,217.79,2563.40,2778.03,3660,7445
inference,217.66,2949.00,3167.14,3799,4775
inference,218.47,2585.66,2791.64,3378,7530
inference,217.5,2821.76,3067.93,3858,5058
inference,218.64,2730.33,2943.39,3435,7104
inference,216.74,2830.17,3084.91,3746,5850
inference,218.6,2682.40,2857.77,3435,6769
inference,217.66,2699.03,2920.72,3731,6290
inference,218.48,2803.32,3016.90,3511,5858
inference,217.98,2722.23,2948.45,3840,7227
inference,218.37,2821.68,3033.47,3682,5060
inference,218.5,2390.27,2662.20,3336,7854
inference,217.58,2803.23,3015.28,3764,4604
inference,217.34,2713.97,2933.44,3598,6995
inference,217.99,2826.88,3038.62,3817,6244
inference,218.2,2683.85,3180.55,3941,6147
inference,217.95,2831.45,3182.54,4125,7172
inference,218.18,2830.12,3089.97,3804,5497
inference,217.97,2675.43,2952.14,3877,7659
inference,218.23,2908.40,3198.55,3739,5579
inference,217.55,2507.37,2788.45,3751,7822
inference,218.07,3038.29,3327.11,3724,5235
inference,217.62,2433.81,2970.90,3552,7929
inference,216.9,2767.51,3724.99,4804,5032
inference,219.56,2745.46,3398.64,3894,8211
inference,217.37,2888.94,3198.18,3915,5425
inference,218.33,2493.03,2780.85,3421,7862
inference,217.66,2732.59,3469.13,4369,5693
inference,218.02,2682.41,3065.63,3848,4590
inference,217.86,2811.35,3117.87,3801,5775
inference,218.13,2519.58,2813.25,3507,6711
inference,217.72,2748.63,3077.34,3771,5744
inference,217.58,2712.65,3374.66,3806,4602
inference,217.93,2781.59,3369.37,3850,6094
inference,218.15,2535.59,2892.92,3461,6598
inference,217.31,2663.65,2994.06,3723,5790
inference,217.87,2704.39,2991.74,3727,4625
inference,218.11,2771.64,3056.75,3741,5857
inference,218.12,2459.27,2738.99,3342,6909
inference,218.13,2748.02,3068.97,3741,5726
inference,217.13,2676.82,2968.06,3680,4644
inference,218.11,2814.57,3138.43,3883,5402
inference,218.2,2659.65,2949.53,3538,6648
inference,217.79,2559.32,2854.78,3701,6609
inference,217.85,2652.03,2939.81,3801,4725
inference,217.52,2682.05,2927.53,3710,4737
inference,218.02,2834.19,3123.13,3802,6441
inference,217.79,2538.83,2843.61,3458,6495
inference,217.79,2745.67,3054.50,3760,5909
inference,217.8,2665.45,2978.88,3788,4743
inference,217.84,2834.61,3127.83,3957,5096
inference,218.78,2635.27,3281.77,4091,6978
inference,217.69,2540.02,2846.83,3491,6367
inference,217.81,2705.25,3196.02,4045,5366
inference,217.95,2657.09,3410.01,4377,4807
inference,217.36,2275.61,3255.94,4463,5033
inference,218.03,2746.69,3887.91,4963,5199
inference,218.17,2668.67,3752.09,4950,5949
inference,224.41,2479.57,3563.52,4808,5794
inference,219.11,2442.45,3367.74,4281,6150
inference,218.49,2368.38,2966.70,3799,5376
inference,217.95,2733.38,3735.00,4359,5163
inference,217.42,1232.16,3387.74,4981,4877
inference,219.79,2174.82,2973.52,3749,649
inference,218.32,2532.26,5603.28,8437,6183
inference,218.58,2785.41,3557.51,4927,5693
inference,219.59,2472.34,4377.98,4959,6519
inference,218.8,2615.60,3741.89,5320,5014
inference,218.14,2484.60,3302.87,4846,4982
inference,218.51,2684.51,3465.99,4265,4965
inference,217.52,2673.98,101169.22,5678,6013
inference,218.12,2775.03,3498.93,4470,6238
inference,218.45,2552.46,3478.75,4642,6235
inference,218.13,2549.10,4312.65,6757,6207
inference,218.01,2688.58,2898.25,3670,5066
inference,218.68,2738.22,14761.09,6832,4945
inference,218.66,2451.50,6049.93,8946,5346
inference,218.58,2856.57,3104.53,4328,5584
inference,220.73,2755.53,4146.41,5373,7009
inference,218.62,2410.55,4052.18,6267,6501
inference,219.75,2464.08,4186.85,5629,5681
inference,218.67,2550.19,4051.01,6064,5001
inference,218.49,2739.23,2974.84,3758,5026
inference,218.64,2622.82,4216.30,6458,5071
inference,219.6,2736.43,5276.50,7505,6376
inference,218.82,2568.79,4460.40,6430,6125
inference,218.99,2605.85,4151.20,6188,6475
inference,221.38,2484.91,3790.01,5019,5982
inference,218.71,2637.71,4081.70,6109,5357
inference,218.05,2717.05,3276.20,4155,5103
inference,220.14,2541.50,3923.44,5928,5132
inference,219.69,2787.31,4496.57,6418,6355
inference,218.59,2701.54,3584.64,5339,6550
inference,220.02,2270.04,3946.08,5436,6437
inference,218.7,2564.01,4126.36,6397,4800
inference,219.54,2391.47,4146.46,5671,5770
inference,218.82,2697.43,2918.26,3743,5534
inference,218.65,2687.67,3330.77,4555,5118
inference,217.96,2547.53,4556.54,6561,5347
inference,219.18,2744.14,4489.02,6825,6184
inference,218.57,2771.29,3759.25,5843,6488
inference,220.15,1267.67,3414.84,5551,6199
inference,218.41,2714.64,3318.31,4180,2199
inference,219.38,2742.40,4147.68,6341,6818
inference,222.64,2605.00,4130.63,5340,6400
inference,218.24,2404.36,3855.13,5842,6638
inference,218.29,2677.73,2914.38,3720,5613
inference,218.76,2562.15,4185.91,6450,5195
inference,219.06,2482.18,4544.72,7085,5325
inference,218.5,2844.97,3073.37,4005,5893
inference,220.47,2567.06,4040.32,6064,6883
inference,218.89,2593.34,4112.02,6172,6477
inference,218.81,2421.72,4160.27,6887,6410
inference,219.27,2531.39,3554.87,4647,5969
tokenizer,216.56,0.54,207.48,171,0
tokenizer,236.04,0.54,111.56,148,0
tokenizer,233.59,0.41,121.07,205,0
tokenizer,229.11,0.41,190.68,271,0
tokenizer,232.17,74.74,237.81,306,0
tokenizer,232.86,0.34,103.12,137,0
tokenizer,234.03,5.99,115.32,158,0
tokenizer,235.16,121.05,308.78,438,0
tokenizer,225.24,0.52,146.17,169,0
tokenizer,240.28,0.32,103.70,158,0
tokenizer,235.21,2.82,136.04,174,0
tokenizer,237.59,0.31,94.87,143,0
tokenizer,234.57,0.30,126.61,188,0
tokenizer,234.84,0.29,114.81,158,0
tokenizer,233.74,0.43,107.14,150,0
pipeline load,216.35,0.36,213.81,176,0
pipeline load,234.46,0.49,106.97,158,0
pipeline load,232.5,0.33,185.23,314,0
pipeline load,235.86,0.49,98.91,191,0
pipeline load,235.9,33.88,150.78,271,0
pipeline load,235.44,316.33,3873.45,6269,0
pipeline load,216.52,306.94,614.73,3713,38
pipeline load,219.29,602.82,898.72,3352,9
pipeline load,217.22,321.46,591.06,3577,32
pipeline load,220.23,319.99,597.70,3601,37
pipeline load,217.58,320.34,596.88,3612,23
pipeline load,219.16,326.80,600.92,3568,18
pipeline load,220.75,589.55,897.39,3420,41
pipeline load,217.92,320.45,593.09,3575,5
pipeline load,220.2,318.56,592.11,3574,28
pipeline load,220.84,317.47,593.10,3595,27
pipeline load,219.37,313.19,633.86,3601,9
pipeline load,218.69,344.11,622.37,3521,50
pipeline load,219.14,598.39,863.41,3336,14
pipeline load,216.78,320.22,588.97,3594,32
pipeline load,220.57,317.82,603.86,3577,14
pipeline load,220.6,320.15,592.82,3572,36
pipeline load,220.57,320.60,596.00,3564,23
pipeline load,220.58,321.48,585.60,3523,18
pipeline load,220.56,335.68,649.15,3595,23
pipeline load,220.29,594.68,3330.23,6560,23
pipeline load,217.04,319.00,596.78,3640,18
pipeline load,220.38,318.64,584.49,3553,23
pipeline load,220.86,325.04,595.44,3559,9
pipeline load,220.72,307.37,647.55,3697,54
pipeline load,220.86,346.51,621.24,3518,5
pipeline load,220.23,605.25,856.32,3378,41
pipeline load,220.09,318.35,579.70,3526,5
pipeline load,218.99,323.93,593.57,3553,14
pipeline load,219.13,318.11,581.39,3532,50
pipeline load,220.66,318.89,578.13,3521,14
pipeline load,220.19,334.56,606.25,3511,41
pipeline load,220.96,397.03,655.34,3173,23
pipeline load,219.66,514.11,770.44,3255,0
pipeline load,219.31,327.41,1659.15,5048,46
pipeline load,218.24,328.45,637.56,3657,9
pipeline load,219.07,317.00,576.01,3519,41
pipeline load,219.54,333.67,615.44,3439,5
pipeline load,217.21,306.63,602.26,3430,32
pipeline load,219.08,605.21,861.96,3332,18
pipeline load,218.7,318.93,586.03,3557,23
pipeline load,219.44,320.54,582.36,3559,27
pipeline load,220.31,322.70,585.93,3491,18
pipeline load,219.85,315.42,617.31,3657,36
pipeline load,220.43,322.61,585.05,3543,18
pipeline load,220.8,635.45,887.70,3247,18
pipeline load,217.73,323.16,1708.63,4869,27
pipeline load,216.72,242.22,1438.66,4494,14
pipeline load,217.63,315.80,1139.12,4361,14
pipeline load,217.79,307.03,1028.61,4412,32
pipeline load,218.74,186.54,1847.38,4366,18
pipeline load,221.39,263.32,1072.41,3907,9
pipeline load,219.27,303.56,748.95,3471,18
pipeline load,218.5,214.38,1807.56,3195,9
pipeline load,218.36,320.48,1880.28,3833,0
pipeline load,217.71,309.28,1006.89,4171,46
pipeline load,217.56,330.79,687.01,3640,46
pipeline load,219.25,216.49,731.63,3202,9
pipeline load,231.85,288.69,1217.10,4261,14
pipeline load,218.52,312.50,977.75,4283,30
pipeline load,219.97,141.59,1218.00,3164,18
pipeline load,234.03,207.93,1359.91,3884,5
pipeline load,217.53,300.26,1212.24,3912,13
pipeline load,218.39,220.47,1774.64,3301,18
pipeline load,218.02,368.03,1182.64,4004,0
pipeline load,219.05,305.89,915.47,3976,14
pipeline load,218.72,330.04,974.11,3909,23
pipeline load,217.42,627.71,1445.29,4374,18
pipeline load,220.6,335.89,1488.70,4692,41
pipeline load,218.22,339.78,2016.18,5490,27
pipeline load,218.18,330.79,991.81,4001,41
pipeline load,218.85,595.54,891.29,3432,28
pipeline load,219.51,315.74,593.02,3581,14
pipeline load,220.14,313.22,1606.25,4334,23
pipeline load,217.25,323.13,1125.49,4313,23
pipeline load,219.89,320.61,604.58,3556,64
pipeline load,220.24,337.21,681.13,3623,41
pipeline load,220.25,457.33,721.20,2960,18
pipeline load,218.88,438.50,695.44,3367,9
pipeline load,219.57,320.60,580.57,3484,50
pipeline load,219.67,322.39,597.70,3533,23
pipeline load,220.71,322.89,582.81,3516,32
pipeline load,220.47,322.81,585.43,3461,9
pipeline load,220.57,343.95,617.79,3536,41
pipeline load,220.17,611.70,869.07,3320,23
pipeline load,219.18,318.56,585.30,3531,18
pipeline load,219.47,320.11,586.66,3586,32
pipeline load,220.05,322.98,585.91,3536,14
pipeline load,220.98,590.83,936.55,2792,23
pipeline load,217.5,36.81,358.98,630,59
inference,217.87,1129.74,1875.07,2644,23
inference,217.0,968.96,1904.45,2479,23
inference,216.74,1418.03,1659.03,2182,0
inference,217.5,1135.00,1438.81,2225,2399
inference,216.87,1066.85,1290.39,1766,616
inference,215.58,1102.61,1316.55,1786,37
inference,218.02,1128.24,1322.32,1844,979
inference,217.98,2669.60,2880.52,4308,1170
inference,217.28,2414.85,2716.73,3470,5432
inference,217.24,2904.21,3111.59,3618,4009
inference,217.49,3048.88,3257.27,3701,7950
inference,217.86,2767.13,2993.53,3681,7996
inference,218.2,2877.80,3077.98,3598,6853
inference,218.29,2740.52,2945.83,3559,6838
inference,217.87,2814.01,3740.05,4305,6826
inference,217.14,2912.06,3209.88,3905,7656
inference,218.12,2862.76,3075.57,3562,7203
inference,218.19,2735.07,2954.54,3598,7244
inference,218.29,2880.54,3081.20,3514,6930
inference,217.2,2907.16,3126.22,3780,7128
inference,218.28,2744.12,2947.15,3482,7413
inference,218.09,2868.68,3073.94,3544,6286
inference,217.47,3000.93,3218.37,3812,6869
inference,218.38,2631.36,2857.43,3476,7564
inference,218.28,2861.75,3071.84,3532,6484
inference,217.54,2998.08,3212.03,3756,6574
inference,218.05,2643.06,2924.95,3577,7856
inference,217.79,2838.07,3049.75,3545,6067
inference,217.48,2981.36,3206.41,3789,6919
inference,218.16,2750.63,2955.25,3520,7679
inference,218.28,2817.35,3034.03,3573,6793
inference,217.8,2996.95,3202.80,3650,6455
inference,217.74,2752.99,2965.60,3656,8200
inference,218.11,2729.11,2942.57,3503,6499
inference,217.49,2914.24,3117.01,3724,6373
inference,218.24,2681.07,2883.17,3382,7320
inference,217.23,2868.44,3081.05,3720,5393
inference,218.15,2670.80,2874.74,3365,7808
inference,217.27,2891.15,3100.03,3719,5038
inference,217.87,2502.68,2860.21,3341,7700
inference,216.85,2927.10,3390.70,3998,5099
inference,218.2,2622.82,3035.81,3621,6917
inference,217.11,2860.82,3166.50,3781,5995
inference,217.59,2683.26,3290.86,3879,6596
inference,217.18,2913.37,3309.95,3946,6397
inference,217.14,2662.13,3052.59,3597,6156
inference,217.48,2828.19,3034.43,3683,6885
inference,218.13,2822.75,3029.23,3489,6001
inference,217.61,2733.93,2946.80,3695,7046
inference,218.37,2952.10,3157.55,3517,5482
inference,217.64,2605.77,2822.22,3685,7593
inference,218.33,2957.39,3166.87,3687,4962
inference,217.94,2714.49,2924.24,3579,7640
inference,217.93,2776.84,3760.96,4602,4983
inference,218.32,2667.42,2873.06,3431,7856
inference,217.81,2878.59,3093.60,3751,5327
inference,218.02,2699.60,2919.00,3463,7295
inference,218.18,2805.60,3031.04,3795,5967
inference,218.13,2689.51,2903.11,3484,6710
inference,217.39,2824.72,3032.55,3744,6597
inference,217.41,2738.85,3463.75,4337,6638
inference,218.11,2785.41,3306.39,3842,6794
inference,217.73,2784.00,3003.33,3495,6006
inference,216.98,2803.54,3028.68,3733,7440
inference,218.16,2776.12,3111.96,3672,5673
inference,217.38,2643.38,2898.48,3786,7879
inference,217.81,2917.10,3158.37,3599,5525
inference,217.31,2622.60,2865.16,3718,7924
inference,218.02,2910.60,3125.67,3550,5453
inference,217.27,2592.00,2800.21,3567,8293
inference,217.95,2685.36,2892.08,3671,4570
inference,218.45,2937.41,3137.79,3731,6176
inference,217.64,2536.81,2739.66,3317,6729
inference,217.75,2687.77,2900.88,3605,5325
inference,217.64,2772.54,2990.28,3676,4611
inference,217.98,2797.43,3013.71,3679,6185
inference,217.98,2600.54,2808.35,3404,7125
inference,217.9,2672.26,2940.31,3795,5023
inference,217.73,2741.00,3485.58,4804,4649
inference,218.37,2782.22,2994.41,3677,6136
inference,218.0,2466.18,2668.59,3298,6915
inference,217.86,2685.66,2939.71,3764,5427
inference,218.14,2713.23,2969.37,3704,4691
inference,218.15,2776.22,2985.69,3635,6065
inference,217.7,2502.32,3489.77,4198,6551
inference,217.89,2615.80,3204.33,4016,5898
inference,217.39,2654.09,2872.23,3639,4842
inference,217.18,2882.89,3104.35,3725,4807
inference,218.32,2831.29,3048.53,3596,6676
inference,218.08,2403.05,2611.85,3425,7036
inference,217.78,2747.86,2986.06,3738,5067
inference,218.02,2754.84,2971.82,3669,4743
inference,217.15,2716.31,2924.10,3684,5931
inference,218.39,2635.86,2844.64,3343,6553
inference,218.21,2562.95,2767.84,3593,6525
inference,217.85,2750.30,2962.32,3645,4775
inference,217.84,2747.03,2956.22,3677,4852
inference,217.82,2815.34,3029.02,3696,6633
inference,218.14,2439.76,2681.31,3401,6606
inference,218.41,2781.84,2998.78,3695,5872
inference,218.44,2693.93,2906.52,3649,4798
inference,217.47,2710.00,2929.10,3729,4871
inference,217.76,2874.21,3085.66,3733,7003
inference,218.21,2465.23,2678.87,3391,6594
inference,218.23,2803.25,3013.55,3684,5705
inference,218.41,2640.70,2994.61,3823,4857
inference,217.3,2799.24,3004.88,3718,4963
inference,218.38,2872.27,3078.40,3737,6590
inference,218.0,2461.09,2671.23,3390,7052
inference,218.4,2788.32,3225.55,3984,5798
inference,217.97,2649.83,3071.44,3936,4904
inference,217.3,2805.16,3110.63,3838,5051
inference,217.99,2858.17,3279.36,3977,6746
inference,217.97,2483.23,2884.84,3620,6647
inference,217.79,2718.04,3423.01,4238,6235
inference,217.77,2760.14,3040.55,3816,4973
inference,217.68,2813.47,3026.80,3762,5047
inference,218.62,2743.76,2945.31,3737,6716
inference,218.31,2633.63,2839.25,3440,6719
inference,217.49,2716.54,2926.50,3692,6349
inference,218.05,2737.39,2948.72,3729,4998
inference,218.04,2662.54,2871.94,3710,5072
inference,218.12,2845.36,3116.55,3851,6751
inference,218.28,2747.96,3592.79,4636,6771
inference,219.28,2317.57,3426.64,4620,5447
inference,218.88,2321.92,3371.70,4537,6147
inference,218.78,2286.42,3531.98,4726,5167
inference,218.5,2257.88,3467.56,4723,5073
inference,224.21,1976.32,3472.70,5009,4142
inference,222.12,2339.04,3122.45,4209,4032
inference,224.54,1409.33,2774.78,3839,4128
inference,218.35,2443.33,3566.44,4827,3688
inference,219.37,1622.21,4326.74,6400,5326
inference,218.08,2747.35,3582.37,5159,3665
inference,217.66,2727.97,3558.00,4939,5113
inference,218.17,2747.01,3263.62,4198,6625
inference,219.44,2686.91,4044.18,5856,7022
inference,217.8,2419.05,3569.92,5423,6512
inference,218.83,2712.18,3799.17,5548,5514
inference,218.4,2653.69,2936.78,3832,5173
inference,217.82,2808.79,3315.30,4146,5421
inference,218.5,2616.28,5083.61,7895,6827
inference,219.0,2838.99,3063.59,3639,6453
inference,217.73,2441.92,3325.46,4914,6895
inference,218.89,2689.27,3785.08,4797,5603
inference,220.55,2556.89,3806.95,5341,5190
inference,217.93,2641.73,3954.39,5777,5323
inference,218.41,2776.08,3418.97,4771,6364
inference,218.74,2621.75,4001.14,6213,6410
inference,219.04,2595.40,3489.45,4209,6752
inference,218.77,2480.59,3179.12,4406,6675
inference,219.07,2617.48,3684.41,5391,5266
inference,219.03,2651.04,3332.28,4493,5272
inference,217.92,2558.87,3655.19,5429,5342
inference,218.68,2632.01,4410.05,6448,6351
inference,217.65,2687.78,3316.37,5146,6018
inference,220.48,2725.87,4122.16,5488,7039
tokenizer,217.08,0.59,229.36,240,0
tokenizer,230.58,0.56,184.42,221,0
tokenizer,238.36,0.40,309.56,218,0
tokenizer,235.17,0.32,242.15,349,0
tokenizer,233.48,87.85,239.10,304,26
tokenizer,229.02,0.33,118.40,188,0
tokenizer,234.28,0.30,137.03,205,0
tokenizer,232.47,0.30,126.04,176,0
tokenizer,235.66,0.34,121.94,165,0
tokenizer,235.13,151.13,265.91,349,0
tokenizer,236.42,0.35,268.66,381,9
tokenizer,235.36,0.34,498.55,582,0
tokenizer,236.26,7.23,118.34,178,0
tokenizer,234.85,74.71,193.72,413,0
pipeline load,216.42,0.53,238.42,226,9
pipeline load,234.45,0.48,174.78,260,9
pipeline load,236.97,0.32,197.82,279,0
pipeline load,232.02,0.41,155.77,250,0
pipeline load,234.62,7.02,134.08,196,0
pipeline load,236.36,504.46,3791.45,5069,13
pipeline load,217.76,308.41,650.62,3798,25
pipeline load,219.41,597.04,868.25,3259,0
pipeline load,217.64,317.81,642.30,3685,32
pipeline load,220.15,325.90,615.62,3561,23
pipeline load,220.76,315.37,640.51,3683,32
pipeline load,219.66,325.48,616.20,3574,27
pipeline load,219.82,407.88,713.03,3289,36
pipeline load,218.73,490.53,781.98,3424,5
pipeline load,219.8,321.79,640.36,3621,41
pipeline load,218.98,312.68,656.27,3699,45
pipeline load,219.5,322.54,668.63,3695,14
pipeline load,218.57,348.84,2076.53,4882,32
pipeline load,217.66,381.44,854.10,3671,23
pipeline load,219.68,527.64,807.13,3419,46
pipeline load,219.74,320.84,597.57,3600,55
pipeline load,220.45,321.78,604.15,3661,18
pipeline load,219.49,318.32,592.95,3586,18
pipeline load,220.56,319.29,604.30,3573,18
pipeline load,218.6,336.21,644.28,3641,36
pipeline load,219.47,407.31,693.06,3208,32
pipeline load,218.05,493.31,767.12,3352,9
pipeline load,219.66,324.71,623.99,3615,32
