timestamp;tag;duration;nvidia_gpu_0;nvidia_gpu_1;nvidia_gpu_2;nvidia_gpu_3
1706229755.82515;inference-4;17.060535669326782;1291780;1338323;1376549;1429240
1706229772.8856857;inference-5;27.610663652420044;2117210;2162316;2224681;2316506
1706229800.4963493;inference-6;17.364623546600342;1320566;1359283;1399402;1445808
1706229817.860973;inference-7;23.487788677215576;1793319;1839780;1895558;1965416
1706229841.3487616;inference-8;22.114476442337036;1683533;1729256;1778913;1846827
1706229863.463238;inference-9;24.9612877368927;1911336;1959195;2016551;2091810
1706229904.585595;tokenizer;0.2692575454711914;15225;15620;10856;17112
1706229904.8548524;pipeline load;34.132633209228516;1875802;1913053;1982868;2057241
1706229938.9874856;inference-0;17.76052451133728;1284291;1322297;1351593;1411193
1706229956.7480102;inference-1;27.349345445632935;2090199;2143265;2211928;2284008
1706229984.0973556;inference-2;15.559683084487915;1177966;1213342;1239749;1294994
1706229999.6570387;inference-3;22.75369143486023;1735964;1782983;1841411;1902475
1706230022.4107301;inference-4;27.380563735961914;2103632;2154211;2208089;2297931
1706230049.7912939;inference-5;22.562742471694946;1716872;1763425;1821466;1883119
1706230072.3540363;inference-6;20.16115093231201;1541226;1585925;1622910;1692806
1706230092.5151873;inference-7;22.550058841705322;1718315;1764993;1823957;1884791
1706230115.065246;inference-8;12.930939674377441;981890;1014888;1033763;1084415
1706230127.9961858;inference-9;14.706799745559692;1109593;1144005;1185498;1222389
1706230156.054161;tokenizer;0.36775946617126465;15225;20844;21657;22841
1706230156.4219205;pipeline load;22.884427547454834;1252350;1272318;1312898;1375387
1706230179.306348;inference-0;20.70206356048584;1507928;1551726;1594304;1657803
1706230200.0084116;inference-1;14.808191061019897;1113393;1147878;1187417;1225851
1706230214.8166027;inference-2;22.089179515838623;1686319;1731749;1780625;1846731
1706230236.9057822;inference-3;26.63206386566162;2037197;2088419;2138478;2225746
1706230263.537846;inference-4;15.406073093414307;1167354;1202369;1243608;1281857
1706230278.9439192;inference-5;18.69058394432068;1418799;1460533;1500888;1557877
1706230297.6345031;inference-6;19.78707718849182;1503869;1546568;1582689;1650231
1706230317.4215803;inference-7;28.661783456802368;2200521;2254493;2325996;2401550
1706230346.0833638;inference-8;28.05215835571289;2147265;2201997;2263688;2345975
1706230374.1355221;inference-9;25.9047110080719;1982196;2032129;2083393;2169045
1706230413.9944036;tokenizer;4.175991773605347;208010;213599;227307;234008
1706230418.1703954;pipeline load;27.07225775718689;1486419;1514993;1559828;1623208
1706230445.2426531;inference-0;22.11756658554077;1610298;1652345;1701029;1770040
1706230467.3602197;inference-1;15.504716157913208;1169113;1204285;1238614;1285970
1706230482.8649359;inference-2;32.344892501831055;2475766;2534422;2607378;2702907
1706230515.2098284;inference-3;43.25831413269043;3345434;3418490;3506645;3628943
1706230558.4681425;inference-4;14.80500054359436;1123098;1149299;1181592;1227348
1706230573.273143;inference-5;16.169108867645264;1228098;1262858;1299316;1350306
1706230589.442252;inference-6;29.738905906677246;2270283;2335503;2401282;2491636
1706230619.1811578;inference-7;24.383970022201538;1860969;1902269;1964682;2040715
1706230643.5651278;inference-8;20.247461318969727;1544582;1588571;1624601;1688476
1706230663.8125892;inference-9;15.884593486785889;1200900;1235729;1270366;1320755
