timestamp;tag;duration;nvidia_gpu_0;nvidia_gpu_1
1706224853.107984;inference-1;14.42324948310852;1446683;1496552
1706224867.5312335;inference-2;31.998589277267456;3401960;3403428
1706224899.5298228;inference-3;27.686283588409424;2940165;2932988
1706224927.2161064;inference-4;20.18753957748413;2041432;2100287
1706224947.403646;inference-5;13.727747917175293;1384254;1426378
1706224961.131394;inference-6;23.28402090072632;2394072;2420703
1706224984.4154148;inference-7;22.41830611228943;2306672;2339551
1706225006.833721;inference-8;23.539504528045654;2447491;2482525
1706225030.3732255;inference-9;16.244033336639404;1631570;1671097
1706225058.9352608;tokenizer;0.2512388229370117;10493;10934
1706225059.1864996;pipeline load;27.98380184173584;1600004;1646734
1706225087.1703014;inference-0;24.361875295639038;2390108;2452204
1706225111.5321767;inference-1;15.878009557723999;1601414;1641091
1706225127.4101863;inference-2;25.20193600654602;2602096;2625824
1706225152.6121223;inference-3;24.53500270843506;2545631;2562112
1706225177.147125;inference-4;24.478883504867554;2530251;2571422
1706225201.6260085;inference-5;23.84219479560852;2473524;2491040
1706225225.4682033;inference-6;21.816508531570435;2232150;2268731
1706225247.2847118;inference-7;21.899508476257324;2240972;2284134
1706225269.1842203;inference-8;28.728518962860107;3026915;3042308
1706225297.9127393;inference-9;12.922795295715332;1312041;1330968
1706225317.4753852;tokenizer;0.17891788482666016;5239;10950
1706225317.654303;pipeline load;20.70868945121765;1185756;1223028
1706225338.3629925;inference-0;26.20339274406433;2610476;2659865
1706225364.5663853;inference-1;15.700673341751099;1595018;1622664
1706225380.2670586;inference-2;15.71107292175293;1570247;1607185
1706225395.9781315;inference-3;23.230214834213257;2377701;2414446
1706225419.2083464;inference-4;32.1424355506897;3447624;3443190
1706225451.350782;inference-5;15.782630920410156;1621275;1636439
1706225467.1334128;inference-6;20.36427140235901;2073609;2122289
1706225487.4976842;inference-7;13.233792543411255;1307235;1350369
1706225500.7314768;inference-8;14.391119003295898;1431521;1484859
1706225515.1225958;inference-9;15.217956066131592;1518001;1570144
1706225539.9358232;tokenizer;0.25610852241516113;15724;16423
1706225540.1919317;pipeline load;28.270952701568604;1598954;1652785
1706225568.4628844;inference-0;29.993553161621094;3036834;3074687
1706225598.4564376;inference-1;21.842778205871582;2238227;2262882
1706225620.2992158;inference-2;17.70020318031311;1776824;1819995
1706225637.999419;inference-3;20.721585035324097;2104455;2161588
1706225658.721004;inference-4;19.610734462738037;1977284;2025376
1706225678.3317385;inference-5;16.25079655647278;1635245;1671708
1706225694.582535;inference-6;19.684518814086914;1975609;2033520
1706225714.2670538;inference-7;25.091166019439697;2582053;2621914
1706225739.3582199;inference-8;21.181873559951782;2160263;2192094
1706225760.5400934;inference-9;20.074305534362793;2017660;2077974
1706225793.9283397;tokenizer;0.36879658699035645;15745;21891
1706225794.2971363;pipeline load;28.601431369781494;1630574;1678526
1706225822.8985677;inference-0;17.996795415878296;1699181;1761970
1706225840.895363;inference-1;25.853582859039307;2632509;2695131
1706225866.748946;inference-2;18.13429307937622;1825240;1859249
1706225884.883239;inference-3;25.840932846069336;2652826;2698151
1706225910.7241719;inference-4;23.510027170181274;2388092;2441532
1706225934.234199;inference-5;22.664254426956177;2300641;2344472
1706225956.8984535;inference-6;20.95863628387451;2117156;2177313
1706225977.8570898;inference-7;16.48997163772583;1633039;1693942
1706225994.3470614;inference-8;11.351880073547363;1116414;1165280
1706226005.6989415;inference-9;16.28797745704651;1606730;1669307
1706226032.6790705;tokenizer;0.30200743675231934;15760;16412
1706226032.981078;pipeline load;28.831159114837646;1639002;1698458
1706226061.812237;inference-0;23.266537189483643;2288656;2339538
1706226085.0787742;inference-1;20.441166877746582;2089011;2135885
1706226105.519941;inference-2;18.24035620689392;1863015;1895196
1706226123.7602973;inference-3;22.661669492721558;2325267;2375891
1706226146.4219668;inference-4;17.33264446258545;1746720;1790687
1706226163.7546113;inference-5;15.512801885604858;1557257;1605999
1706226179.2674131;inference-6;16.549999952316284;1674707;1722221
1706226195.817413;inference-7;20.086235523223877;2044021;2089259
1706226215.9036486;inference-8;16.273648500442505;1652952;1693123
1706226232.177297;inference-9;18.05435299873352;1820260;1863749
1706226264.9254317;tokenizer;0.3369314670562744;21001;21891
1706226265.2623632;pipeline load;31.69618821144104;1787083;1846903
1706226296.9585514;inference-0;22.520038843154907;2193964;2255463
1706226319.4785903;inference-1;39.36051273345947;4344084;4286028
1706226358.839103;inference-2;14.134721994400024;1463281;1501610
1706226372.973825;inference-3;22.315863609313965;2272432;2323733
1706226395.2896886;inference-4;23.078795433044434;2367351;2404615
1706226418.368484;inference-5;22.09780740737915;2261126;2316134
1706226440.4662914;inference-6;16.0090594291687;1618178;1657555
1706226456.4753509;inference-7;15.553133964538574;1561529;1617960
1706226472.0284848;inference-8;15.882011651992798;1581547;1639262
1706226487.9104965;inference-9;15.05436110496521;1494962;1561291
1706226522.0397036;tokenizer;0.29491734504699707;15716;16369
1706226522.334621;pipeline load;27.770445585250854;1580147;1637355
1706226550.1050665;inference-0;16.47881054878235;1549673;1611989
1706226566.583877;inference-1;20.462700366973877;2062074;2105192
1706226587.0465775;inference-2;21.939716577529907;2237389;2279824
1706226608.986294;inference-3;17.76991868019104;1781559;1830258
1706226626.7562127;inference-4;22.14356279373169;2242093;2298251
1706226648.8997755;inference-5;16.004640817642212;1595275;1656977
1706226664.9044163;inference-6;19.121155500411987;1919993;1976288
1706226684.0255718;inference-7;30.574942111968994;3210898;3231785
1706226714.600514;inference-8;19.225351333618164;1966020;1992184
1706226733.8258653;inference-9;42.31490206718445;4709829;4669918
